ID;CREDIT;GENDER;EDUCATION;MARRIAGE;AGE;PAY_1;PAY_2;DEFAULT
148;200000;1;1;2;34;55500;5000;0
149;80000;0;2;1;23;0;379;0
150;260000;0;1;1;60;0;969;0
151;140000;1;2;1;32;5000;0;0
152;80000;1;1;2;25;6000;8000;0
153;350000;1;1;2;41;630;0;0
154;280000;0;2;1;56;5137;100000;0
155;30000;0;3;2;26;1000;1500;0
156;140000;1;1;1;34;11885;5000;0
157;200000;0;1;2;37;3250;3500;0
158;200000;0;3;2;30;7680;6200;0
159;210000;1;3;1;45;11078;11078;1
160;50000;1;3;1;57;500;500;0
161;30000;1;1;2;41;2200;0;0
162;50000;1;2;2;27;216;864;0
163;290000;1;3;1;47;792;0;0
164;250000;0;1;1;34;5469;5656;0
165;60000;0;2;1;46;1500;1000;0
166;110000;0;1;2;27;3000;2900;0
167;370000;1;1;2;50;15413;4792;0
168;100000;1;2;1;27;1330;1398;0
169;90000;0;2;1;35;3652;10000;0
170;50000;0;2;2;22;982;1017;0
171;270000;1;2;2;37;3000;4000;0
172;300000;0;1;2;30;4340;2672;0
173;50000;0;2;2;22;149;0;0
174;50000;0;1;2;24;0;0;1
175;360000;1;1;2;29;0;0;0
176;130000;1;3;1;56;3000;5500;1
177;80000;1;1;2;30;1000;500;0
178;50000;1;2;2;30;1000;2000;0
179;20000;0;2;2;22;500;1500;0
180;80000;0;2;1;29;600;400;0
181;240000;1;1;2;37;2000;0;0
182;80000;0;3;2;35;3000;2000;0
183;500000;0;1;1;47;30000;20000;0
184;60000;0;2;1;24;3000;1000;1
185;20000;1;2;2;25;601;135;0
186;100000;0;2;1;38;1500;0;1
187;360000;0;1;2;32;68454;13889;0
188;200000;0;3;2;47;6800;7134;1
189;130000;0;2;1;34;3500;501;0
190;20000;0;2;2;31;0;0;0
191;310000;1;1;2;32;10057;5028;0
192;60000;0;1;2;27;2000;0;1
193;180000;0;1;2;29;0;17227;0
194;180000;0;1;2;24;200;0;0
195;50000;1;2;1;36;2000;500;0
196;50000;0;1;2;24;1700;1532;1
197;150000;0;2;1;34;116;0;0
198;20000;0;1;2;22;541;20000;0
199;500000;0;1;1;34;1251;1206;0
200;30000;0;3;2;22;1714;104;1
201;180000;0;1;1;38;0;0;0
202;140000;1;1;2;31;3000;7800;0
203;140000;0;1;2;26;5841;13506;0
204;120000;1;2;2;26;4152;5000;0
205;360000;0;2;1;48;5800;5600;0
206;20000;1;3;1;43;1258;1459;0
207;100000;1;1;1;47;390;390;0
208;210000;0;2;1;41;3763;877;1
209;80000;0;2;2;24;2038;2000;1
210;330000;0;1;1;50;1702;0;0
211;220000;1;1;2;24;8303;0;0
212;210000;0;1;1;38;0;789;1
213;40000;0;3;1;43;1200;1500;0
214;30000;1;2;2;39;0;1000;0
215;470000;1;2;2;27;0;10484;0
216;30000;1;3;1;42;240;1470;0
217;240000;0;2;1;36;0;0;1
218;80000;1;2;2;36;3400;3000;0
219;110000;0;3;0;31;3000;3000;0
220;310000;0;1;2;38;0;0;0
221;360000;0;1;1;40;5900;5000;1
222;330000;0;3;2;45;12116;12450;0
223;300000;0;2;2;35;17000;12000;0
224;320000;0;2;2;33;2117;2076;0
225;50000;0;3;2;37;1500;1000;1
226;170000;0;1;2;28;22500;4820;0
227;350000;1;3;1;44;569;0;0
228;20000;1;2;1;37;663;676;0
229;50000;1;2;2;23;2004;704;1
230;20000;0;3;2;24;500;100;0
231;50000;0;1;2;24;1002;238;0
232;20000;1;2;2;23;1000;0;1
233;50000;1;2;1;26;2624;45567;0
234;190000;1;2;2;34;10000;0;1
235;60000;0;2;1;33;1000;721;0
236;80000;1;1;2;35;1719;1378;0
237;150000;0;2;2;27;1566;1208;0
238;210000;0;1;2;31;893;6082;0
239;240000;0;3;1;50;8008;8000;1
240;140000;0;2;0;41;2198;1000;1
241;60000;0;1;2;28;0;0;0
242;50000;1;1;2;39;3000;2000;0
243;50000;0;2;2;27;900;1200;0
244;180000;0;1;2;32;0;2821;0
245;30000;0;1;2;40;0;0;0
246;20000;0;2;2;40;2114;0;0
247;250000;0;2;1;75;1010;5572;0
248;100000;0;2;2;27;1100;1150;0
249;330000;1;1;2;25;5056;74;0
250;50000;1;3;1;46;587;611;0
251;50000;0;2;2;26;1206;2002;0
252;30000;1;2;2;28;851;955;0
253;140000;0;2;2;26;3605;3894;1
254;160000;0;1;2;28;1000;99669;0
255;400000;0;2;2;29;4968;1905;0
256;50000;1;2;1;25;980;994;0
257;140000;0;2;1;48;1355;1130;0
258;160000;0;2;1;33;52572;1546;0
259;100000;0;3;1;43;0;0;0
260;220000;1;1;1;48;6000;5500;1
261;510000;0;1;2;29;5000;5001;0
262;50000;1;2;2;29;3000;3130;0
263;160000;0;1;1;38;18941;0;0
264;230000;0;1;2;37;0;299;0
265;80000;0;1;2;37;188;1644;0
266;150000;0;2;1;25;316;316;0
267;10000;1;3;2;23;478;847;0
268;130000;0;3;2;49;1630;561;1
269;40000;0;1;2;48;1500;1500;0
270;50000;1;2;2;27;426;501;1
271;100000;1;3;2;32;616;2007;0
272;120000;1;1;1;34;0;0;0
273;260000;0;1;2;58;0;0;1
274;200000;0;2;2;33;2000;2000;0
275;360000;0;2;2;28;0;0;1
276;70000;0;2;2;36;3268;3000;0
277;460000;1;1;1;40;2654;0;1
278;50000;0;1;2;26;316;316;0
279;50000;1;3;1;33;691;707;0
280;250000;0;2;1;31;5000;4000;0
281;30000;0;1;2;27;1500;0;0
282;270000;1;2;1;44;10150;44299;0
283;180000;0;3;2;30;3563;3605;0
284;100000;0;1;2;28;2025;5000;0
285;230000;0;3;1;32;5000;5000;0
286;210000;0;1;1;46;20076;16171;0
287;210000;1;1;2;38;2000;2000;0
288;440000;0;2;1;46;3727;3800;0
289;100000;0;2;2;25;2000;2127;1
290;240000;0;2;1;46;1000;1000;0
291;280000;1;1;2;33;898;325;1
292;50000;0;2;2;22;0;0;1
293;30000;1;2;1;43;300;0;0
294;10000;1;2;2;27;500;370;1
295;130000;1;1;2;29;0;0;0
296;200000;1;1;2;31;4715;4804;0
297;120000;0;2;1;29;1423;0;0
298;210000;0;2;1;36;6000;5900;0
299;280000;0;1;1;36;1300;1100;0
300;300000;1;1;2;34;0;19595;1
301;100000;1;2;2;37;2314;2365;0
302;440000;0;1;2;36;0;0;0
303;50000;0;3;1;40;1000;1000;0
304;20000;0;1;2;25;4000;1700;1
305;200000;0;1;2;27;3908;1014;0
306;110000;0;2;2;26;0;3000;0
307;500000;0;2;1;36;8500;4590;0
308;300000;0;2;1;27;0;0;0
309;30000;1;3;1;55;2000;1500;1
310;60000;0;1;2;27;4889;273;0
311;400000;0;2;1;38;5322;6;0
312;180000;0;2;1;34;5000;4900;0
313;20000;1;1;2;40;0;3000;0
314;200000;0;3;1;49;0;5000;1
315;100000;1;1;2;27;200;645;0
316;60000;1;2;2;23;618;809;1
317;110000;0;2;2;36;2000;2100;0
318;260000;0;3;1;53;452;397;0
319;50000;0;3;1;46;1070;1030;0
320;180000;1;2;2;29;0;0;0
321;110000;1;2;2;29;2000;2000;1
322;340000;0;1;2;27;5000;5849;0
323;50000;1;2;2;24;3666;2477;0
324;230000;0;2;1;28;1000;767;1
325;360000;0;2;2;32;10000;10000;0
326;210000;1;2;2;43;3000;5000;0
327;220000;0;2;1;41;950;0;1
328;60000;0;2;1;34;3720;0;1
329;340000;1;2;1;55;2190;24599;0
330;150000;1;1;1;40;8100;4000;0
331;200000;0;2;1;37;6900;24000;1
332;130000;0;2;2;40;500;500;1
333;60000;0;1;2;28;673;10000;0
334;400000;0;2;1;43;0;1600;0
335;20000;1;1;2;27;830;700;0
336;190000;0;1;2;28;5645;5753;0
337;260000;0;1;2;30;6000;7000;0
338;140000;0;2;2;31;0;0;0
339;50000;0;2;1;31;1061;1073;1
340;120000;0;1;2;34;1100;1330;0
341;240000;0;2;2;30;0;92;0
342;50000;1;2;2;36;0;978;0
343;200000;0;1;2;29;20183;5000;0
344;180000;1;1;1;39;26000;0;0
345;180000;0;1;2;26;3835;4106;0
346;160000;0;1;2;29;5000;5000;0
347;100000;0;2;2;26;1000;1080;0
348;50000;0;2;2;29;2000;2000;1
349;140000;0;2;2;31;5100;5300;0
350;30000;0;2;2;26;621;795;1
351;90000;1;1;2;26;0;0;0
352;200000;1;1;1;36;0;4000;0
353;380000;1;1;2;30;0;0;1
354;80000;0;2;2;43;3000;1691;0
355;50000;1;3;1;58;1000;1001;0
356;180000;1;2;1;45;1100;1200;1
357;240000;0;2;2;26;3870;4000;0
358;380000;1;2;2;34;5000;6000;0
359;110000;0;0;2;24;2900;3000;0
360;260000;1;1;1;34;35696;34039;0
361;500000;0;2;2;23;14000;16500;1
362;320000;0;2;2;30;2570;2661;0
363;50000;1;2;2;32;1262;1358;0
364;110000;1;1;1;40;0;216;1
365;230000;0;1;2;35;665;576;0
366;330000;0;2;1;56;0;3965;0
367;50000;0;2;1;61;975;1000;0
368;10000;1;2;2;24;0;0;0
369;300000;1;1;1;40;0;0;0
370;20000;0;2;1;32;384;390;1
371;180000;1;2;1;36;0;0;1
372;160000;1;1;2;30;9123;13028;0
373;90000;0;1;2;34;0;8000;0
374;30000;1;3;0;54;1500;4000;0
375;180000;1;1;1;46;3305;5040;0
376;30000;1;3;1;58;915;800;0
377;30000;1;2;1;43;946;4200;0
378;140000;0;1;2;28;4991;3600;0
379;210000;1;1;2;30;2000;4000;0
380;50000;1;2;2;31;327;3000;1
381;130000;0;2;2;29;2600;2674;0
382;50000;0;2;1;37;200;500;1
383;140000;1;3;1;36;4000;4000;0
384;170000;0;2;2;28;0;296;1
385;80000;1;2;2;25;579;0;0
386;410000;0;0;1;42;9000;8500;0
387;80000;0;1;2;29;0;0;0
388;80000;1;3;1;73;3500;3500;1
389;150000;1;2;1;43;5700;5700;0
390;260000;1;1;1;30;0;0;1
391;350000;1;1;1;38;0;0;0
392;280000;0;2;1;39;1130;922;1
393;310000;1;2;1;44;3011;3000;0
394;140000;0;2;2;29;3000;3500;0
395;360000;1;1;1;51;0;0;0
396;140000;0;1;2;27;6000;6000;0
397;100000;1;1;2;38;860;0;0
398;50000;0;2;2;22;848;0;0
399;210000;0;2;1;30;3500;3000;0
400;120000;0;2;2;25;8272;5000;0
401;240000;1;1;2;29;2072;3018;0
402;60000;0;3;0;42;962;1500;0
403;150000;1;1;2;41;0;2344;1
404;30000;1;2;1;48;1046;1079;0
405;160000;0;1;2;29;11558;5800;1
406;200000;1;1;1;52;0;0;0
407;120000;0;2;1;25;0;0;0
408;500000;1;1;1;37;12137;12312;0
409;320000;0;1;2;27;10450;9697;0
410;280000;1;1;2;31;6371;6217;0
411;60000;0;1;2;23;1600;1400;1
412;200000;0;1;1;38;367;150;0
413;230000;0;1;1;32;4606;792;0
414;230000;0;2;2;27;423;313;1
415;480000;0;3;1;41;9033;19371;0
416;50000;0;3;1;35;0;0;0
417;200000;0;1;2;31;0;0;0
418;50000;0;1;2;30;1200;2000;0
419;50000;1;2;1;48;2000;2000;0
420;260000;0;1;2;36;0;0;1
421;30000;1;1;2;24;1007;2500;0
422;440000;0;1;2;29;7013;6013;0
423;230000;0;2;2;38;371;2980;0
424;200000;1;2;1;38;3500;3500;1
425;490000;0;2;1;30;7306;6303;0
426;80000;0;2;1;32;0;0;0
427;20000;0;3;2;49;0;3123;1
428;170000;0;1;2;31;398;0;1
429;70000;1;1;2;27;600;28468;0
430;210000;0;2;2;33;5000;3000;0
431;90000;0;2;2;25;3000;3001;0
432;390000;0;1;2;27;10041;11000;1
433;110000;0;1;2;29;2000;2000;0
434;580000;0;1;1;36;5951;6006;0
435;360000;1;3;1;55;1775;0;0
436;270000;0;2;1;32;0;16000;1
437;60000;0;1;2;27;300;0;0
438;110000;1;3;1;37;2300;2200;0
439;50000;0;1;1;25;1000;761;0
440;80000;0;1;2;23;956;40000;1
441;50000;1;2;2;23;1695;11300;0
442;100000;1;1;2;32;6500;3500;0
443;30000;0;1;2;26;0;197;0
444;200000;0;1;2;27;4000;4003;0
445;240000;1;1;2;44;7400;8000;1
446;220000;1;2;2;34;1100;1000;0
447;160000;0;1;2;28;3000;2400;0
448;180000;0;1;1;53;54;0;0
449;200000;1;0;1;42;1956;1500;0
450;140000;0;3;1;30;0;2210;0
451;380000;1;1;1;51;0;0;1
452;600000;1;1;1;53;16000;16000;1
453;260000;1;2;2;37;130000;7000;0
454;200000;0;1;2;26;1443;1443;0
455;80000;1;2;2;42;1800;1800;0
456;40000;1;2;2;39;301;212;0
457;130000;1;3;2;39;0;6000;0
458;50000;1;1;2;32;1300;0;0
459;230000;0;2;1;41;12887;6985;0
460;70000;1;2;1;48;500;0;1
461;180000;0;2;1;38;5000;5000;0
462;80000;0;2;1;36;2980;1260;0
463;290000;0;2;2;26;3015;23473;0
464;230000;0;1;2;28;3013;4010;0
465;170000;0;3;0;56;0;0;0
466;230000;1;1;1;59;7100;7120;1
467;220000;1;1;2;38;9000;6729;1
468;230000;1;2;2;32;655;627;0
469;500000;1;2;1;38;50091;25000;0
470;90000;0;1;1;41;307;2870;0
471;390000;0;3;2;35;8893;9229;1
472;400000;0;2;2;41;6243;6007;0
473;180000;1;2;1;34;2144;1180;0
474;60000;1;3;1;38;2000;2700;0
475;120000;0;2;1;32;6440;0;0
476;60000;0;2;2;29;1000;1100;0
477;50000;1;1;2;44;1200;1203;0
478;70000;0;2;1;37;0;1782;0
479;500000;0;1;1;38;300;600;0
480;200000;1;1;2;31;0;0;0
481;250000;0;2;1;40;0;1069;0
482;140000;1;2;2;26;11400;550;1
483;70000;0;2;2;28;758;6736;0
484;90000;1;3;1;48;1600;1600;0
485;100000;0;2;1;43;556;2306;0
486;190000;1;2;1;31;4137;3502;0
487;230000;0;1;1;42;0;10500;0
488;320000;1;2;1;39;4218;5000;0
489;220000;0;2;1;36;0;396;1
490;260000;0;1;1;34;4140;4414;0
491;90000;0;2;2;32;0;0;0
492;30000;0;2;1;43;1608;0;0
493;260000;1;2;2;30;207;2003;0
494;170000;0;2;2;28;0;0;0
495;80000;0;1;1;28;248;408;1
496;50000;1;1;1;41;1000;220;0
497;200000;0;3;2;47;7000;7128;0
498;20000;1;2;2;23;820;1025;0
499;250000;0;1;1;49;120;6;0
500;20000;1;1;1;38;750;0;0
501;30000;0;2;1;38;2000;1500;0
502;90000;0;2;1;35;0;4500;0
503;230000;0;0;2;46;8000;8000;0
504;130000;0;1;1;33;0;0;1
505;30000;1;0;1;53;0;0;0
506;160000;1;1;2;35;0;793;0
507;500000;0;2;2;43;4989;100;0
508;180000;0;2;2;28;1128;2500;0
509;80000;0;2;1;30;200;1000;0
510;120000;1;1;2;26;10446;0;0
511;130000;1;2;1;31;1411;930;0
512;120000;0;2;2;35;240;240;1
513;360000;1;1;2;28;1750;2853;0
514;50000;1;2;2;23;1300;1300;1
515;20000;0;2;2;23;577;430;0
516;100000;1;3;1;56;2169;2634;0
517;70000;1;3;1;32;2610;2750;0
518;50000;1;2;1;47;2000;618;0
519;10000;0;2;2;22;390;328;0
520;290000;0;1;1;34;5000;7000;0
521;30000;0;1;1;31;819;1000;0
522;410000;0;2;2;27;8700;18775;0
523;360000;1;1;2;28;62520;17000;1
524;140000;0;2;1;42;5012;5112;1
525;210000;0;1;2;32;2600;2900;0
526;220000;0;2;2;27;1831;0;0
527;20000;1;2;2;27;1000;1606;0
528;620000;0;2;1;45;6000;6000;1
529;360000;1;1;2;26;0;1685;0
530;20000;0;2;2;21;28;22073;0
531;50000;1;2;2;23;13000;1500;0
532;50000;1;2;0;30;780;803;0
533;10000;1;2;2;46;871;0;1
534;100000;0;3;1;50;2500;0;1
535;50000;1;1;2;26;1807;2204;0
536;60000;1;2;2;25;578;4825;0
537;440000;0;1;2;35;10000;9000;0
538;120000;1;2;1;44;2066;1919;0
539;50000;0;1;2;52;0;318;0
540;110000;0;2;1;40;3700;3700;0
541;200000;0;1;2;38;0;218;0
542;150000;0;1;2;28;0;0;0
543;30000;0;2;1;36;0;1100;1
544;100000;0;1;2;24;87;14761;0
545;360000;0;1;1;34;9785;0;0
546;390000;0;1;2;31;3000;2000;0
547;220000;0;1;1;41;0;0;1
548;160000;0;2;2;25;0;0;0
549;230000;0;1;2;28;3000;1000;0
550;120000;1;1;2;27;5000;4000;0
551;100000;1;3;1;52;1000;0;1
552;190000;0;1;2;41;0;26854;1
553;50000;1;1;1;56;1100;2000;1
554;240000;0;1;1;42;0;0;0
555;40000;0;2;2;24;1401;1607;0
556;630000;0;2;1;47;2632;8654;0
557;160000;0;1;1;33;350;150;0
558;110000;0;2;2;32;3200;3200;0
559;20000;1;2;2;29;0;0;0
560;210000;0;3;1;53;2400;2255;0
561;270000;1;1;2;34;6621;2457;0
562;360000;0;2;2;52;1005;948;0
563;60000;0;2;1;42;416;416;0
564;360000;1;2;2;38;5000;5000;0
565;390000;0;1;2;45;6940;7;0
566;250000;0;3;2;35;6739;2403;0
567;90000;0;1;2;24;3000;5000;1
568;360000;1;1;2;28;10573;10155;0
569;50000;1;3;2;26;800;1000;0
570;270000;0;1;1;40;0;0;0
571;200000;0;1;2;29;5089;19561;0
572;50000;0;2;2;23;1690;1000;0
573;350000;1;1;2;33;0;0;0
574;160000;0;2;2;60;0;3177;1
575;80000;0;3;1;49;1459;6764;0
576;290000;1;1;1;53;10265;8803;1
577;270000;0;1;2;28;34000;14000;0
578;80000;1;1;2;31;4082;0;0
579;50000;1;2;2;36;1000;500;0
580;30000;1;2;1;35;3390;2040;0
581;30000;1;2;2;28;0;0;1
582;90000;1;2;2;33;5263;8598;0
583;160000;1;1;2;26;1044;21636;0
584;80000;0;3;2;53;2007;2500;0
585;50000;1;2;2;42;1700;1700;0
586;20000;0;1;2;25;600;1600;0
587;220000;1;1;1;43;0;0;1
588;210000;1;3;2;25;9631;1561;1
589;130000;0;2;2;29;1291;1319;0
590;260000;0;2;1;31;11500;17024;0
591;230000;0;1;1;30;65840;2000;0
592;160000;1;1;2;34;3200;3300;0
593;50000;1;1;1;35;215;249;0
594;80000;1;2;1;32;2009;5017;0
595;110000;1;3;2;46;2287;2362;0
596;200000;1;1;1;43;5009;4844;0
597;360000;1;2;2;29;7017;7154;0
598;210000;0;3;2;31;0;0;0
599;80000;0;2;2;24;5000;2500;0
600;300000;0;2;1;36;0;2768;1
601;310000;0;2;1;43;867;898;0
602;30000;1;3;1;59;390;390;1
603;170000;1;1;1;53;544;563;0
604;140000;0;2;2;28;924;2070;0
605;180000;0;2;2;31;0;0;0
606;50000;1;1;2;34;0;2200;0
607;50000;0;2;1;36;150;0;0
608;110000;0;1;2;24;5000;0;0
609;450000;0;3;1;36;0;6368;0
610;200000;0;2;1;34;561;390;0
611;220000;1;1;2;43;18900;13580;0
612;360000;0;1;2;29;0;0;1
613;50000;1;2;1;37;1601;2000;0
614;40000;1;2;2;23;955;993;0
615;190000;0;2;1;37;0;9000;0
616;150000;1;1;2;33;965;64;0
617;200000;0;1;1;37;0;595;0
618;270000;0;2;1;56;3953;4500;0
619;60000;1;1;2;25;2000;1500;0
620;200000;0;2;1;39;2572;2559;0
621;150000;0;2;1;39;3000;2500;0
622;180000;0;2;2;28;500;460;0
623;90000;0;1;2;27;0;0;0
624;360000;0;2;1;37;0;166;0
625;90000;0;1;2;24;0;0;0
626;20000;0;2;2;24;1265;0;0
627;70000;1;1;1;46;2000;3140;0
628;230000;1;1;1;39;660;660;0
629;30000;1;3;1;48;1033;1200;0
630;200000;0;3;0;45;3411;6788;0
631;100000;1;3;2;49;0;0;0
632;50000;0;2;2;23;2000;4000;0
633;20000;0;3;1;25;0;1304;0
634;210000;0;2;1;47;0;0;0
635;110000;1;3;1;56;1318;2171;0
636;20000;0;3;1;44;228;0;0
637;50000;0;3;1;49;1000;1500;0
638;50000;1;2;1;41;682;680;0
639;400000;0;1;2;40;20500;77000;0
640;170000;1;2;2;31;2000;3000;0
641;280000;1;2;1;42;5500;5500;0
642;130000;0;3;1;28;0;0;0
643;210000;0;2;2;32;5000;4500;0
644;370000;1;2;2;28;5000;10000;0
645;30000;0;2;1;31;742;1000;0
646;150000;1;3;2;39;0;0;0
647;60000;1;3;1;31;0;0;1
648;80000;0;2;2;24;2000;2500;0
649;280000;0;2;1;44;8000;7000;1
650;20000;0;2;2;46;0;0;0
651;270000;1;1;2;32;300;0;0
652;240000;0;2;2;26;7500;7500;0
653;20000;0;1;2;22;900;900;0
654;450000;0;1;1;42;42000;0;1
655;10000;1;2;2;33;1000;1000;0
656;280000;1;2;1;39;5427;3885;1
657;290000;0;3;2;27;0;2000;0
658;190000;0;1;2;28;3000;2000;1
659;80000;0;1;2;23;3105;0;0
660;280000;0;2;2;28;1714;1290;0
661;160000;0;1;1;33;12145;13391;0
662;90000;1;2;1;40;787;1457;1
663;140000;0;1;2;37;0;0;0
664;50000;1;1;2;22;120;200;0
665;40000;0;2;1;32;1100;1200;0
666;130000;0;3;1;43;3814;3562;0
667;70000;0;3;1;27;2000;4600;0
668;30000;0;2;1;35;893;1000;0
669;100000;0;3;1;35;8000;0;0
670;20000;0;1;1;30;0;500;1
671;30000;0;2;2;34;5810;1325;0
672;20000;1;2;1;34;1000;1000;1
673;100000;0;1;2;28;3000;3000;1
674;30000;1;2;2;25;0;0;1
675;320000;0;1;1;41;3590;3700;0
676;90000;1;3;2;42;0;2500;1
677;190000;1;2;2;40;6500;6500;1
678;200000;1;1;2;28;6000;6000;0
679;300000;0;2;2;31;7423;0;0
680;30000;0;1;2;56;7024;7024;0
681;110000;0;2;0;45;783;3000;0
682;230000;0;1;2;29;0;0;0
683;230000;0;1;1;35;0;0;0
684;310000;0;2;2;28;5000;5000;0
685;320000;1;1;1;40;10000;19000;0
686;360000;1;1;1;47;3508;4876;0
687;20000;0;3;1;41;300;1000;1
